section,text
Chicken,"Preheat the oven to 425°F. Line a baking sheet with parchment paper or lightly oil it."
Chicken,"Mix {{gluten_free_bread_crumbs}}, {{salt_chicken}}, {{onion_powder}}, and {{garlic_powder_chicken}} in a shallow bowl."
Chicken,"Dip or roll {{chicken}} in {{olive_oil}}, then roll the chicken in the bread crumb mixture to coat."
Chicken,"Spread the coated chicken on the prepared baking sheet and bake for 10–14 minutes, until cooked through."
Dressing,"Put {{mango}}, {{coconut_cream}}, {{lemon_juice}}, {{garlic_powder_dressing}}, {{ginger}}, and {{sea_salt}} in a blender and blend until smooth."
Serve,"Layer {{salad_mix}} in bowls with the mango dressing and crispy chicken, then serve."
