section,text
Prep,"Mix {{flour}}, {{lemon_pepper}}, and {{salt}} in a mixing bowl."
Cook Chicken,"Heat {{olive_oil}} in a large pan over medium-high heat."
Cook Chicken,"Dredge {{chicken_breasts}} in the seasoned {{flour}} mixture, shaking off excess."
Cook Chicken,"Cook {{chicken_breasts}} for 5–6 minutes per side, or until cooked through."
Cook Chicken,"Remove {{chicken_breasts}} from the pan, place on a plate, and cover to keep warm."
Make Sauce,"Warm {{sauce_fat}} in the pan, then whisk in {{lemon_juice}} and season with additional {{salt}} to taste."
Finish,"Spoon the lemon sauce over {{chicken_breasts}} and sprinkle with {{parsley}}. Enjoy."
