section,text
,"In a pot, combine {{potatoes}}, {{leeks}}, {{celery}}, and {{water}}. Cook until the vegetables are tender."
,Mash the soup slightly if you prefer a smoother texture.
,"Stir in {{butter}}, {{milk}}, and {{salt}}. Season with {{black_pepper}} and {{parsley}} to taste."
,"Heat gently until warmed through, then serve."
