section,text
,Heat the oven to 350–400°F (177–204°C).
,Dice {{butternut_squash}} into 1-inch cubes and place in a baking dish. Add {{sausage}} (broken into pieces) and {{onion}}. Season with {{salt}}.
,"If the sausage is lean, drizzle with {{coconut_oil}} for extra fat."
,"Bake until the squash is tender and the sausage is cooked through, stirring occasionally."
