token,option,display,ratio,unit,ingredient_id
sweet_potato,,sweet potato,1,medium,sweet-potato
rice_flour,,white rice flour,3/4,cup,rice-flour
tapioca_flour,,tapioca flour/starch,1/3,cup,tapioca-starch
baking_powder,,baking powder,1,tsp,baking-powder
salt,,salt,1/2,tsp,salt
oil,,oil or cooking spray,1,tsp,neutral-oil
