section,text
,"In a large pot, combine the {{butternut_squash}}, {{red_bell_pepper}}, {{zucchini}}, {{carrot}}, {{red_onion}}, {{green_onion}}, {{celery_stalks}}, {{celery_leaves}}, {{garlic}}, and {{water}}. Reserve the {{lemon_juice}}, {{salt}}, and {{green_onion_garnish}}."
,"Bring the soup to a boil, then reduce the heat to medium. Simmer until the carrots and squash are tender, about 20 to 30 minutes."
,"Stir in the {{lemon_juice}} and season with {{salt}}."
,"Garnish with the {{green_onion_garnish}} and serve warm."
