token,option,display,ratio,unit,ingredient_id
macaroni,,macaroni,4,cup,macaroni
velveeta,,Velveeta,3/4,lb,velveeta
milk,,milk,1/2,cup,milk
salt,,salt,1/2,tsp,salt
black_pepper,,black pepper,1/4,tsp,black-pepper
