token,option,display,ratio,unit,ingredient_id
butter,,butter,2,tbsp,butter
onion,,onion,1/2,cup,onion
wheat_flour,,wheat flour,1/4,cup,wheat-flour
chicken_broth,,chicken broth,2 1/4,cup,chicken-broth
milk,,milk,2,cup,milk
parsley,,parsley,2 1/2,cup,parsley
watercress,,watercress,2,cup,watercress
nutmeg,,ground nutmeg,1/8,tsp,nutmeg
salt,,salt,1/4,tsp,salt
black_pepper,,black pepper,1/4,tsp,black-pepper
