section,text
Prep,"Preheat the oven to 425°F."
Taco Filling,"Heat {{olive_oil}} in a large skillet over high heat. When the oil shimmers, add {{protein}} and {{onion}}. Cook, breaking up the meat as it cooks, until browned, about 5 minutes."
Taco Filling,"Add {{chipotle_chili_powder}}, {{smoked_paprika}}, {{cumin}}, {{garlic_powder_filling}}, {{red_pepper_flakes}}, {{oregano}}, and {{salt_filling}}. Stir in {{water}}, reduce the heat to medium, and simmer until the sauce has thickened slightly around the meat, about 10 minutes."
Taco Filling,"Remove the skillet from the heat and stir in {{cilantro_filling}}."
Tacos,"Line {{taco_shells}} up on a sheet pan or in a 9x13-inch baking dish. Bake for 5 minutes. Evenly divide the meat mixture among the shells, top with {{cheese}}, and bake for 10 minutes, until the cheese has melted."
Cilantro Lime Ranch,"Combine {{ranch_base}}, {{cilantro_ranch}}, {{garlic_powder_ranch}}, {{onion_powder_ranch}}, {{pickled_jalapenos}}, {{jalapeno_brine}}, the juice from {{limes}}, and {{salt_ranch}} in a glass jar. Shake or stir until creamy."
Serve,"Serve the tacos topped with the cilantro lime ranch. Add avocado, red onion, or other desired toppings if using."
