section,text
,Preheat the oven to 400°F.
,"Cream {{shortening}} and {{sugar}} together, then beat in the {{eggs}}."
,"Stir in {{flour}}, {{cream_of_tartar}}, {{baking_soda}}, and {{salt}} to make a soft dough."
,Combine {{coating_sugar}} and {{cinnamon}} in a small bowl.
,Roll dough into balls and coat with the cinnamon sugar.
,Bake 8 to 10 minutes until set.
