token,option,display,ratio,unit,ingredient_id
shortening,,shortening,1,cup,shortening
sugar,,granulated sugar,1 1/2,cup,sugar
eggs,,eggs,2,count,egg
flour,,all-purpose flour,2 3/4,cup,wheat-flour
cream_of_tartar,,cream of tartar,2,tsp,cream-of-tartar
baking_soda,,baking soda,1,tsp,baking-soda
salt,,salt,1/4,tsp,salt
coating_sugar,,granulated sugar,2,tbsp,sugar
cinnamon,,cinnamon,2,tsp,cinnamon
