token,option,display,ratio,unit,ingredient_id,depends_on_token,depends_on_option
water,,water,6,fl_oz,water,,
milk_powder,,milk powder,2 1/2,tsp,milk,,
fat,,butter or vegetable oil,1 3/4,tbsp,butter,,
sugar,,sugar,4,tbsp,sugar,,
salt,,salt,1/4,tsp,salt,,
flour,,high gluten flour,2 1/4,cup,wheat-flour,,
yeast,,yeast,1 1/2,tsp,active-dry-yeast,,
