section,text
,"Cream {{butter_choice}}, {{powdered_sugar}}, and {{vanilla_extract}} together until very smooth."
,"In a separate bowl, stir together {{flour}} and {{salt}}."
,"Mix the flour mixture into the butter mixture until combined (it will look crumbly at first, then come together)."
,"Stir in {{nuts}}."
,"Chill the dough until firm enough to roll, about 30 to 60 minutes."
,Preheat the oven to 400°F. Line a baking sheet if desired.
,Roll dough into 1-inch balls and place on the baking sheet.
,Bake 10 to 12 minutes, until set but not browned.
,"While still warm, roll the cookies in {{rolling_sugar}} to coat. Let cool."
,"Roll in {{rolling_sugar}} again for a thicker coating."
