section,text
Roasted topping,Preheat the oven to 350°F. Line a baking sheet with parchment paper.
Roasted topping,"On the prepared baking sheet, toss together {{pepitas}}, {{topping_olive_oil}}, {{maple_syrup}}, {{cinnamon}}, and a pinch of {{topping_salt}}. Arrange in a single layer. Lay {{prosciutto}} flat around the pepitas. Bake for 10–15 minutes, until the pepitas are toasted and the prosciutto is crisp."
Salad,"Meanwhile, in a large salad bowl, combine {{kale}}, thinly sliced {{apples}}, and {{pomegranate_arils}}."
Cider vinaigrette,"Heat {{vinaigrette_olive_oil}} in a medium skillet over high heat. When the oil shimmers, add {{shallot}} and cook until fragrant, 2–3 minutes. Remove from the heat and let cool slightly."
Cider vinaigrette,"Stir {{apple_cider_vinegar}}, {{fig_preserves}}, and {{thyme}} into the warm shallot oil. Season with {{vinaigrette_salt}}, {{black_pepper}}, and a pinch of {{red_pepper_flakes}}."
Serve,"Pour the cider vinaigrette over the salad and toss to combine. Top with the toasted pepitas, crisp prosciutto, and {{feta}}. Serve immediately."
