# DO NOT EDIT — generated from ingredient_catalog.csv
ingredient_id,unit,grams,source,notes
salt,tsp,6,USDA (table salt),Approx 1 tsp table salt.
black-pepper,tsp,2.3,USDA (ground black pepper),Approx 1 tsp ground black pepper.
apple-cider,ml,1.0,USDA (apple juice density),Approx 1 ml ≈ 1 g.
beef-broth,ml,1.0,USDA (broth density),Approx 1 ml ≈ 1 g.
chicken-broth,ml,1.0,USDA (broth density),Approx 1 ml ≈ 1 g.
thyme,sprig,0.2,USDA (fresh thyme),Approx 1 sprig ~0.2 g.
