section,text
Prep,"Supreme {{grapefruit}} and {{orange}} over a bowl, reserving the citrus segments and at least 3 tablespoons of the collected juices."
Dressing,"In a small bowl, whisk 3 tablespoons of the reserved citrus juices with {{olive_oil}}, {{salt}}, and {{black_pepper}}."
Prep,"Trim, halve, and core {{fennel}}, then thinly slice it."
Assemble,"In a large serving bowl, combine the sliced fennel, {{arugula}}, and the citrus segments from the grapefruit and orange."
Serve,"Drizzle the dressing over the salad and toss to combine. Sprinkle with {{mint}} and serve."
