section,text
,Brown the {{beef}} in a large pot.
,"Add {{potatoes}}, {{celery}}, {{onion}}, {{green_beans}}, {{pinto_beans}}, {{carrots}}, {{peas}}, {{corn}}, and {{diced_tomatoes}}."
,"Stir in {{bouillon}}, {{celery_salt}}, and {{white_pepper}}."
,Add {{water}} to reach the desired consistency and simmer for 2 hours.
,Whisk {{flour}} with a splash of hot broth and stir it in quickly to avoid lumps.
