section,text
,Brown the {{ground_beef}} in a large pot.
,Add {{onion}} and {{green_pepper}}; cook 2 to 3 minutes.
,"Pour off fat and stir in {{tomatoes}}, {{kidney_beans}}, {{chili_powder}}, {{salt}}, {{paprika}}, {{cayenne}}, {{garlic}}, {{bay_leaf}}, and {{worcestershire}}."
,"Simmer for 1 hour, then remove the {{bay_leaf}} before serving."
