section,text
,"Beat {{sugar}}, {{peanut_butter}}, {{egg}}, and {{vanilla}} until well blended."
,Fold in {{peanuts}} if using.
,Form cookies and place on a parchment-lined baking sheet. Flatten with a fork in a criss-cross pattern.
,"Bake at 325°F for 10 to 12 minutes, until lightly browned. Cool 2 minutes on the pan."
