token,option,display,ratio,unit,ingredient_id
sugar,,sugar,1,cup,sugar
peanut_butter,,peanut butter,1,cup,peanut-butter
egg,,egg,1,count,egg
vanilla,,vanilla extract,1,tsp,vanilla-extract
peanuts,,crushed peanuts (optional),1/2,cup,peanuts
