token,option,display,ratio,unit,ingredient_id
noodles,,soba noodles (or other long noodles),4,oz,noodles
olive_oil,,extra-virgin olive oil (or avocado oil),2,tbsp,olive-oil
onion,,red or white onion (thinly sliced),1,medium,onion
sea_salt,,fine sea salt,1/2,tsp,sea-salt
mixed_vegetables,,mixed vegetables (thinly sliced),6,cup,mixed-vegetables
teriyaki_sauce,,teriyaki sauce,1/2,cup,teriyaki-sauce
sesame_oil,,toasted sesame oil,1,tsp,toasted-sesame-oil
sesame_seeds,,sesame seeds,1,tsp,sesame-seeds
green_onion,,green onion (thinly sliced),1/4,cup,green-onion
