section,text
Assembly,Spread {{cream_cheese}} in the bottom of a square pan.
Assembly,Layer {{salsa}} evenly over the cream cheese.
Assembly,Scatter {{ground_beef}} over the salsa.
Assembly,Finish with {{cheese_blend}}. Chill until ready to serve.
