section,text
Prep,"Preheat the oven to 350°F. Arrange {{almonds}} on a sheet pan and toast until lightly golden, about 8 minutes; set aside."
Chicken,"Increase the oven temperature to 450°F and line a sheet pan with foil. Coat both sides of {{chicken_breasts}} with {{olive_oil_chicken}}, then season with {{salt_chicken}} and {{black_pepper_chicken}}."
Chicken,"Arrange the chicken skin-side up on the prepared sheet pan. Roast until the chicken reaches an internal temperature of 160°F, about 35 minutes."
Chicken,"Remove the chicken from the oven and let it rest, loosely tented with foil, for 10 minutes. When cool enough to handle, shred the meat into bite-size pieces, discarding the skin and bones."
Salad,"Meanwhile, combine {{red_bell_peppers}}, {{scallions}}, {{red_cabbage}}, {{carrot}}, toasted {{almonds}}, {{sesame_seeds}}, {{tamari}}, {{olive_oil_dressing}}, and {{lime_juice}} in a medium bowl."
Salad,"Season the vegetables with {{salt_salad}} and {{black_pepper_salad}}, then toss to combine. Add the shredded {{chicken_breasts}}, toss again, and serve."
