token,option,display,ratio,unit,ingredient_id
flour,,flour,1,cup,wheat-flour
sugar,,sugar,3/4,cup,sugar
butter,,softened butter,1/2,cup,butter
eggs,,eggs,2,count,egg
milk,,milk,1/2,cup,milk
