section,text
,Heat {{olive_oil}} in a large pot over medium heat.
,"Add {{onion}}, {{carrots}}, and {{celery}}. Cook, stirring occasionally, until tender, about 3–4 minutes."
,"Stir in {{garlic}}, {{ginger}}, {{lemongrass}}, {{thyme}}, and {{rosemary}} until fragrant, 1–2 minutes."
,"Add {{water}}, {{bay_leaves}}, and {{salt}}; bring to a boil."
,"Add {{chicken_thighs}}, reduce the heat, and simmer until the chicken is cooked through. Remove the chicken and shred it."
,Add {{pasta}} and cook until tender.
,"Stir in the shredded chicken, {{parsley}}, and {{lemon_juice}}. Season with {{black_pepper}} and additional salt if needed, then garnish with {{chives}}."
