token,option,display,ratio,unit,ingredient_id
orange_gelatin,,orange gelatin,1,package,orange-gelatin
boiling_water,,boiling water,1,cup,water
orange_sherbet,,orange sherbet,1,pint,orange-sherbet
mandarin_oranges,,mandarin oranges,1,can,mandarin-oranges
whipped_cream,,whipped heavy cream,1,cup,whipped-cream
