token,option,display,ratio,unit,ingredient_id
cooked_chicken,,cooked chicken (cut up),3,cup,cooked-chicken
velveeta,,Velveeta (cubed),4,oz,velveeta
nacho_chips,,nacho-flavored tortilla chips (crushed),1/2,bag,nacho-chips
celery_soup,,cream of celery soup,1,can,cream-of-celery-soup
chicken_soup,,cream of chicken soup,1,can,cream-of-chicken-soup
rotel,,Rotel tomatoes with green chiles,10,oz,rotel
