section,text
,"Mix {{american_cheese}}, {{eggs}}, {{tuna}}, {{green_pepper}}, {{green_olives}}, {{sweet_pickles}}, and {{mayonnaise}} lightly."
,Fill the {{buns}} with the mixture.
,"Wrap each bun in foil and bake at 350°F for about 30 minutes, until the filling is heated and the cheese is melted."
