token,option,display,ratio,unit,ingredient_id
american_cheese,,American cheese,1/4,lb,american-cheese
eggs,,eggs,3,count,egg
tuna,,tuna,1,can,tuna
green_pepper,,green pepper,2,tbsp,green-pepper
green_olives,,stuffed green olives,2,tbsp,green-olives
sweet_pickles,,sweet pickles,2,tbsp,sweet-pickles
mayonnaise,,mayonnaise,1/3,cup,mayonnaise
buns,,hot dog buns,6,count,hot-dog-buns
